month,dln_cpi,dln_gengi,dln_eu_ppi,cum_brent,cum_cpi,cum_gengi,cum_eu_ppi,shock_pct,duration,shock_label
11,-0.001154473387515867,-8.656892662659019e-4,-0.0016255934896928156,0,0.882915493940409,1.8236802034888526,0.4286842304502541,50,6 months,+50%
12,-0.0010591333080532568,-0.0011603370586048814,-0.0013212269396712729,0,0.7770021631350833,1.7076464976283643,0.29656153648312683,50,6 months,+50%
0,0.002606676153052532,-1.656696103162266e-4,0.01660700781975341,53.06282510621704,0.26066761530525323,-0.01656696103162266,1.6607007819753412,70,1 month,+70%
1,7.840277906513296e-4,0.0012178940191163506,-0.009321140449144404,0,0.33907039437038616,0.1052224408800124,0.7285867370609007,70,1 month,+70%
2,-0.0019324008234095809,0.017737610545990955,-0.001838586207671222,0,0.1458303120294281,1.8789834954791078,0.5447281162937785,70,1 month,+70%
3,0.004022027256603372,-0.008644942605642192,-0.0012888081993368081,0,0.5480330376897653,1.0144892349148886,0.41584729636009765,70,1 month,+70%
4,-0.0019742735770749247,-0.007400346121769708,-0.0012177175099398665,0,0.3506056799822728,0.2744546227379179,0.294075545366111,70,1 month,+70%
5,-5.514052577657417e-4,0.0020416595637680825,-5.341676404634522e-4,0,0.2954651542056987,0.47862057911472605,0.2406587813197658,70,1 month,+70%
6,-2.341842326408158e-4,2.8779452067462935e-4,-5.387204951274267e-4,0,0.2720467309416171,0.507400031182189,0.18678673180702313,70,1 month,+70%
7,-5.711928984866036e-4,-0.0017060703764835428,-5.778291879908103e-4,0,0.21492744109295672,0.33679299353383474,0.12900381300794211,70,1 month,+70%
8,-2.144873896361959e-4,4.96328351349259e-4,-2.8000721023290105e-4,0,0.19347870212933715,0.38642582866876063,0.101003091984652,70,1 month,+70%
9,-1.7773008349669227e-4,2.2786944372547857e-4,-2.965705155035265e-4,0,0.1757056937796679,0.40921277304130854,0.07134604043429935,70,1 month,+70%
10,-2.078166806329662e-4,-2.774048511431093e-4,-2.638976590394241e-4,0,0.1549240257163713,0.3814722879269976,0.04495627453035693,70,1 month,+70%
11,-1.0543683067860889e-4,-1.6143622749156903e-4,-1.7037335215353867e-4,0,0.1443803426485104,0.3653286651778407,0.027918939315003066,70,1 month,+70%
12,-1.0941359613052086e-4,-9.780818496301497e-5,-1.403989456522643e-4,0,0.13343898303545834,0.35554784668153916,0.013879044749776635,70,1 month,+70%
0,0.002606676153052532,-1.656696103162266e-4,0.01660700781975341,53.06282510621704,0.26066761530525323,-0.01656696103162266,1.6607007819753412,70,2 months,+70%
1,0.0033907039437038626,0.0010522244088001231,0.007285867370609011,53.06282510621704,0.5997380096756395,0.08865547984838965,2.389287519036242,70,2 months,+70%
2,-0.0011483730327582512,0.018955504565107334,-0.011159726656815624,0,0.48490070639981436,1.984205936359123,1.2733148533546796,70,2 months,+70%
3,0.0020896264331937992,0.009092667940348811,-0.0031273944070080275,0,0.6938633497191943,2.893472730394004,0.960575412653877,70,2 months,+70%
4,0.002047753679528457,-0.01604528872741188,-0.0025065257092766746,0,0.8986387176720401,1.2889438576528163,0.7099228417262096,70,2 months,+70%
5,-0.0025256788348406627,-0.005358686558001576,-0.0017518851504033201,0,0.6460708341879737,0.7530752018526587,0.5347343266858775,70,2 months,+70%
6,-7.855894904065539e-4,0.0023294540844427114,-0.0010728881355908774,0,0.5675118851473183,0.98602061029693,0.42744551312678974,70,2 months,+70%
